stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
PROVEN_1,"Provence",,  48.407616,  -4.514785,,,,1
DONNAR_1,"Donnart",,  48.400013,  -4.485775,,,,2
DONNAR_2,"Donnart",,  48.399563,  -4.486217,,,,2
MOUETT_1,"Mouettes",,  48.381622,  -4.617868,,,,1
KILRUS_1,"Kilrush",,  48.381790,  -4.620695,,,,1
GLEUZ_2,"Kergleuz",,  48.412182,  -4.365008,,,,2
RTE_BH_1,"Rte de Bohars",,  48.436298,  -4.508679,,,,1
KERLO_A1,"Kerlois",,  48.441269,  -4.465063,,,,1
MESNOS_1,"Mesnos",,  48.390907,  -4.536794,,,,1
FLLERE_1,"Feuillère",,  48.391529,  -4.532363,,,,1
FLLERE_2,"Feuillère",,  48.391594,  -4.532968,,,,1
DEMY_1,"Demy",,  48.392986,  -4.529154,,,,2
DEMY_2,"Demy",,  48.392601,  -4.529456,,,,2
BACH,"Bach",,  48.394325,  -4.529289,,,,2
VENTURA,"Ventura",,  48.395203,  -4.533741,,,,2
GARERK,"Gare R.Kerhuon",,  48.409332,  -4.387967,,,,1
KGUILO_1,"Bohars-Kerguillo",,  48.418484,  -4.523561,,,,1
CHATAI_1,"Châtaigniers",,  48.434010,  -4.565529,,,,1
CHATAI_2,"Châtaigniers",,  48.433952,  -4.565290,,,,1
PENGUE_2,"Penguerec",,  48.444134,  -4.474699,,,,2
DIWAN_2,"Diwan",,  48.398037,  -4.411242,,,,2
C_CRO_2,"Chapelle Croix",,  48.411358,  -4.373631,,,,2
DOUVEZ_2,"Le Douvez",,  48.414680,  -4.349458,,,,2
KERAFL_2,"Kerafloch",,  48.413860,  -4.354733,,,,2
KVAREC_2,"Kergavarec",,  48.409687,  -4.356407,,,,2
PGUINA2,"Poulguinan",,  48.424755,  -4.392314,,,,2
C_BELL_2,"Créac'h Bellec",,  48.425026,  -4.526360,,,,2
C_BELL_1,"Créac'h Bellec",,  48.424957,  -4.526337,,,,2
RIBEUZ_1,"Ribeuze",,  48.441536,  -4.396011,,,,1
RIBEUZ_2,"Ribeuze",,  48.441624,  -4.396199,,,,1
BASSAN_2,"Fou de Bassan",,  48.443779,  -4.470706,,,,2
BASSAN_1,"Fou de Bassan",,  48.443756,  -4.470595,,,,2
KERZES_2,"Kerzespez",,  48.433064,  -4.560440,,,,1
KGUILO_2,"Bohars-Kerguillo",,  48.418430,  -4.523839,,,,1
CARENE_1,"La Carène",,  48.384552,  -4.481587,,,,1
CARENE_2,"La Carène",,  48.384727,  -4.480621,,,,1
MANET_1,"Manet",,  48.431496,  -4.564559,,,,1
MANET_2,"Manet",,  48.431614,  -4.564696,,,,1
KEROU_1,"Kerouriat",,  48.428036,  -4.551964,,,,1
KEROU_2,"Kerouriat",,  48.427746,  -4.551695,,,,1
SOURCE_1,"La Source",,  48.430256,  -4.556434,,,,1
SOURCE_2,"La Source",,  48.430206,  -4.555750,,,,1
COAT_M_1,"Coat Mez",,  48.420891,  -4.554085,,,,1
COAT_M_2,"Coat Mez",,  48.420818,  -4.554049,,,,1
ROUDOU_2,"Roudous",,  48.429920,  -4.559387,,,,1
GUIL_E_2,"Guilers Eglise",,  48.425148,  -4.558417,,,,1
DAURAT_2,"Daurat",,  48.425297,  -4.553447,,,,1
DAURAT_1,"Daurat",,  48.425251,  -4.553752,,,,1
MENEZ_1,"Ty ar Menez",,  48.384201,  -4.354848,,,,1
ST_R,"Place Strasbourg",,  48.402119,  -4.467360,,,,1
OCTROI_1,"Octroi",,  48.396580,  -4.474919,,,,1
WATTO_2,"Watteau",,  48.412914,  -4.473702,,,,2
WATTO_1,"Watteau",,  48.412796,  -4.473727,,,,2
R_GUIL_2,"Route de Guilers",,  48.388088,  -4.512074,,,,1
CAF_2,"C A F",,  48.392033,  -4.490802,,,,1
CAF_1,"C A F",,  48.391800,  -4.491084,,,,1
LANDAI_2,"Landais",,  48.389099,  -4.509009,,,,1
ARRET_1,"Maison d'arrêt",,  48.420853,  -4.477165,,,,2
ARRET_2,"Maison d'arrêt",,  48.420502,  -4.477147,,,,2
CHOISE_1,"Choiseul",,  48.406712,  -4.475793,,,,1
N_1,"Liberté Frézier",,  48.391468,  -4.485322,,,,1
BOURAY_3,"Bourayne",,  48.381184,  -4.527114,,,,1
BOURAY_4,"Bourayne",,  48.381969,  -4.527408,,,,1
MOULT_1,"Le Moult",,  48.401657,  -4.483401,,,,1
MOULT_2,"Le Moult",,  48.401848,  -4.482938,,,,1
CHR_B,"Hopital Cavale",,  48.400204,  -4.529846,,,,1
